filename,transcript_perekaman,transcript_training
novita_f_20201030_03944_dongeng_yogyakarta,"Dengan kesaktian lidahnya, ia mengubah sehelai rambut milik si nenek menjadi seorang bayi laki-laki.",dengan kesaktian lidahnya ia mengubah sehelai rambut milik si nenek menjadi seorang bayi laki laki 
novita_f_20201030_03945_dongeng_yogyakarta,"Ia pun meminta maaf kepada adik iparnya itu, juga kepada istri tercintanya.",ia pun meminta maaf kepada adik iparnya itu juga kepada istri tercintanya 
novita_f_20201030_03946_dongeng_yogyakarta,"Demikian cerita Si Pahit Lidah dari Sumidang, Sumatra Selatan.",demikian cerita si pahit lidah dari sumidang sumatra selatan 
novita_f_20201030_03947_dongeng_yogyakarta,"Namun, ia memiliki penyakit yang aneh.",namun ia memiliki penyakit yang aneh 
novita_f_20201030_03948_dongeng_yogyakarta,"Setiap kali ada raja yang melamarnya, seluruh tubuhnya tiba-tiba dipenuhi penyakit kusta.",setiap kali ada raja yang melamarnya seluruh tubuhnya tiba tiba dipenuhi penyakit kusta 
novita_f_20201030_03949_dongeng_yogyakarta,"Hal itu membuat keenam kakaknya menjadi murka, karena ia menjadi aib bagi keluarga istana.",hal itu membuat keenam kakaknya menjadi murka karena ia menjadi aib bagi keluarga istana 
novita_f_20201030_03950_dongeng_yogyakarta,"Oleh karena itu, mereka berniat untuk membunuh adik bungsunya itu.",oleh karena itu mereka berniat untuk membunuh adik bungsunya itu 
novita_f_20201030_03951_dongeng_yogyakarta,Berhasilkah mereka membunuh Putri Serindang Bulan? ,berhasilkah mereka membunuh putri serindang bulan 
novita_f_20201030_03952_dongeng_yogyakarta,Ikuti kisahnya dalam cerita Putri Serindang Bulan berikut ini! ,ikuti kisahnya dalam cerita putri serindang bulan berikut ini 
novita_f_20201030_03953_dongeng_yogyakarta,"Alkisah, di daerah Bengkulu, hiduplah seorang raja yang bernama Raja Mawang yang berkedudukan di Lebong.",alkisah di daerah bengkulu hiduplah seorang raja yang bernama raja mawang yang berkedudukan di lebong 
novita_f_20201030_03954_dongeng_yogyakarta,"Raja Mawang mempunyai enam putra, dan seorang putri.",raja mawang mempunyai enam putra dan seorang putri 
novita_f_20201030_03955_dongeng_yogyakarta,"Mereka adalah Ki Gete, Ki Tago, Ki Ain, Ki Jenain, Ki Geeting, Ki Karang Nio, dan Putri Serindang Bulan.",mereka adalah ki gete ki tago ki ain ki jenain ki geeting ki karang nio dan putri serindang bulan 
novita_f_20201030_03956_dongeng_yogyakarta,"Tidak beberapa lama setelah Ki Karang Nio menjabat sebagai raja, Raja Mawang pun wafat.",tidak beberapa lama setelah ki karang nio menjabat sebagai raja raja mawang pun wafat 
novita_f_20201030_03957_dongeng_yogyakarta,Penyakit itu muncul setiap kali ada raja yang datang melamarnya.,penyakit itu muncul setiap kali ada raja yang datang melamarnya 
novita_f_20201030_03958_dongeng_yogyakarta,"Akibatnya, pertunangan pun selalu batal.",akibatnya pertunangan pun selalu batal 
novita_f_20201030_03959_dongeng_yogyakarta,"Anehnya, jika pertunangan itu batal, penyakit kusta itu pun hilang.",anehnya jika pertunangan itu batal penyakit kusta itu pun hilang 
novita_f_20201030_03960_dongeng_yogyakarta,"Peristiwa tersebut tidak hanya sekali terjadi, tetapi berulang hingga sembilan kali.",peristiwa tersebut tidak hanya sekali terjadi tetapi berulang hingga sembilan kali 
novita_f_20201030_03961_dongeng_yogyakarta,Peristiwa tersebut menjadi aib bagi keluarga istana.,peristiwa tersebut menjadi aib bagi keluarga istana 
novita_f_20201030_03962_dongeng_yogyakarta,"hal ini dibiarkan terus terjadi, nama baik keluarga kita akan semakin jelek di mata para raja ",hal ini dibiarkan terus terjadi nama baik keluarga kita akan semakin jelek di mata para raja 
novita_f_20201030_03963_dongeng_yogyakarta,Apa yang harus kita lakukan untuk mengatasi masalah ini? tanya Ki Gete membuka pembicaraan.,apa yang harus kita lakukan untuk mengatasi masalah ini tanya ki gete membuka pembicaraan 
novita_f_20201030_03964_dongeng_yogyakarta,"Mendengar pertanyaan itu, kelima saudaranya hanya terdiam.",mendengar pertanyaan itu kelima saudaranya hanya terdiam 
novita_f_20201030_03965_dongeng_yogyakarta,"Sejenak, suasana sidang menjadi hening.",sejenak suasana sidang menjadi hening 
novita_f_20201030_03966_dongeng_yogyakarta,"Meskipun ia seorang raja, Ki Karang Nio harus menerima keputusan itu, karena ia kalah suara oleh kakak-kakaknya.",meskipun ia seorang raja ki karang nio harus menerima keputusan itu karena ia kalah suara oleh kakak kakaknya 
novita_f_20201030_03967_dongeng_yogyakarta,Dalam pertemuan itu juga diputuskan bahwa Ki Karang Nio-lah yang harus melaksanakan tugas itu.,dalam pertemuan itu juga diputuskan bahwa ki karang nio lah yang harus melaksanakan tugas itu 
novita_f_20201030_03968_dongeng_yogyakarta,"Untuk membuktikan bahwa ia telah melaksanakan tugasnya, ia harus membawa pulang setabung darah Putri Serindang Bulan.",untuk membuktikan bahwa ia telah melaksanakan tugasnya ia harus membawa pulang setabung darah putri serindang bulan 
novita_f_20201030_03969_dongeng_yogyakarta,"Setelah pertemuan selesai, Ki Karang Nio segera menemui Putri Serindang Bulan.",setelah pertemuan selesai ki karang nio segera menemui putri serindang bulan 
novita_f_20201030_03970_dongeng_yogyakarta,Betapa sedihnya hati putri yang malang itu mendengar keputusan kakak-kakaknya.,betapa sedihnya hati putri yang malang itu mendengar keputusan kakak kakaknya 
novita_f_20201030_03971_dongeng_yogyakarta,"Namun, ia tidak dapat berbuat apa-apa.",namun ia tidak dapat berbuat apa apa 
novita_f_20201030_03972_dongeng_yogyakarta,"Ia hanya bisa pasrah dan menyerahkan nasibnya kepada Tuhan Yang Mahakuasa Kuasa.Ya, Tuhan! ",ia hanya bisa pasrah dan menyerahkan nasibnya kepada tuhan yang mahakuasa kuasa ya tuhan 
novita_f_20201030_03973_dongeng_yogyakarta,"Di sepanjang perjalanan, kedua kakak-beradik tersebut tidak pernah saling menyapa.",di sepanjang perjalanan kedua kakak beradik tersebut tidak pernah saling menyapa 
novita_f_20201030_03974_dongeng_yogyakarta,"Setelah berpikir keras, akhirnya ia pun menemukan cara untuk mengelabui kakaknya.",setelah berpikir keras akhirnya ia pun menemukan cara untuk mengelabui kakaknya 
novita_f_20201030_03975_dongeng_yogyakarta,"Sebaiknya kita berhenti di sini saja! Seru Ki Karang Nio.Baiklah, Kak! ",sebaiknya kita berhenti di sini saja seru ki karang nio baiklah kak 
novita_f_20201030_03976_dongeng_yogyakarta,"Silahkan laksanakan tugas Kakak! seru Puri Serindang Bulan.Tidak, Adikku! ",silahkan laksanakan tugas kakak seru puri serindang bulan tidak adikku 
novita_f_20201030_03977_dongeng_yogyakarta,"Aku tidak akan sampai hati membunuh adik kandungku sendiri, kata Ki Karang Nio.Lakukanlah, Kak! ",aku tidak akan sampai hati membunuh adik kandungku sendiri kata ki karang nio lakukanlah kak 
novita_f_20201030_03978_dongeng_yogyakarta,Adik rela mati demi keselamatan Kakak.,adik rela mati demi keselamatan kakak 
novita_f_20201030_03979_dongeng_yogyakarta,"Jika Kakak tidak membunuh Adik, nyawa Kakak akan terancam.",jika kakak tidak membunuh adik nyawa kakak akan terancam 
novita_f_20201030_03980_dongeng_yogyakarta,"tidak akan membunuhmu, ",tidak akan membunuhmu 
novita_f_20201030_03981_dongeng_yogyakarta,Aku akan membuatkanmu sebuah rakit.,aku akan membuatkanmu sebuah rakit 
novita_f_20201030_03982_dongeng_yogyakarta,"Dengan rakit itu, kamu ikuti aliran Sungai Air Ketahun ini.",dengan rakit itu kamu ikuti aliran sungai air ketahun ini 
novita_f_20201030_03983_dongeng_yogyakarta,"Jika kamu tidak keberatan, bolehkah aku menyayat tanganmu? ",jika kamu tidak keberatan bolehkah aku menyayat tanganmu 
novita_f_20201030_03984_dongeng_yogyakarta,"Aku akan mengambil sedikit darahmu dan mencampurkannya dengan darah binatang, pinta Ki Karang Nio.Silahkan, Kak! ",aku akan mengambil sedikit darahmu dan mencampurkannya dengan darah binatang pinta ki karang nio silahkan kak 
novita_f_20201030_03985_dongeng_yogyakarta,"Setelah itu, ia menyuruh Serindang Bulan untuk naik ke rakit yang sudah disiapkan.",setelah itu ia menyuruh serindang bulan untuk naik ke rakit yang sudah disiapkan 
novita_f_20201030_03986_dongeng_yogyakarta,Hati-hatilah di jalan! ,hati hatilah di jalan 
novita_f_20201030_03987_dongeng_yogyakarta,"Semoga Tuhan Yang Mahakuasa senatiasa melindungimu! seru Ki Karang Nio.Terima kasih, Kak! ",semoga tuhan yang mahakuasa senatiasa melindungimu seru ki karang nio terima kasih kak 
novita_f_20201030_03988_dongeng_yogyakarta,Ia tidak tega melihat adik yang sangat disayanginya itu hanyut terbawa aliran air sungai.,ia tidak tega melihat adik yang sangat disayanginya itu hanyut terbawa aliran air sungai 
novita_f_20201030_03989_dongeng_yogyakarta,Kakak-kakaknya pun mempercayainya dengan bukti berupa tabung yang berisi darah tersebut.,kakak kakaknya pun mempercayainya dengan bukti berupa tabung yang berisi darah tersebut 
novita_f_20201030_03990_dongeng_yogyakarta,"Berkat pertolongan Tuhan Yang Mahakuasa, ia ditemukan oleh Raja Indrapura yang sedang berburu di pulau itu.",berkat pertolongan tuhan yang mahakuasa ia ditemukan oleh raja indrapura yang sedang berburu di pulau itu 
novita_f_20201030_03991_dongeng_yogyakarta,"Mendengar cerita itu, Raja Indrapura sangat terharu.",mendengar cerita itu raja indrapura sangat terharu 
novita_f_20201030_03992_dongeng_yogyakarta,"Akhirnya, ia membawa Putri Serindang Bulan ke istananya di Negeri Setio Barat.",akhirnya ia membawa putri serindang bulan ke istananya di negeri setio barat 
novita_f_20201030_03993_dongeng_yogyakarta,"Tak berapa lama kemudian, terdengarlah kabar bahwa Raja Indrapura akan menikah dengan Putri Serindang Bulan.",tak berapa lama kemudian terdengarlah kabar bahwa raja indrapura akan menikah dengan putri serindang bulan 
novita_f_20201030_03994_dongeng_yogyakarta,"Berkat kesaktian Raja Indrapura, penyakit kusta sang Putri tidak pernah kambuh lagi.",berkat kesaktian raja indrapura penyakit kusta sang putri tidak pernah kambuh lagi 
novita_f_20201030_03995_dongeng_yogyakarta,Berita tentang pernikahan mereka pun sampai ke telinga kakak-kakaknya di Lebong.,berita tentang pernikahan mereka pun sampai ke telinga kakak kakaknya di lebong 
novita_f_20201030_03996_dongeng_yogyakarta,"Namun, mereka tidak berani membunuh adiknya itu, karena takut mendapat murka dari Raja Indrapura.",namun mereka tidak berani membunuh adiknya itu karena takut mendapat murka dari raja indrapura 
novita_f_20201030_03997_dongeng_yogyakarta,"Ki Karang Nio tidak lupa membawa perselen, yaitu semacam emas sebagai uang jujur Putri Serindang Bulan.",ki karang nio tidak lupa membawa perselen yaitu semacam emas sebagai uang jujur putri serindang bulan 
novita_f_20201030_03998_dongeng_yogyakarta,"Setibanya di pesta tersebut, Putri Serindang Bulan dan Raja Indrapura pun menyambut kedatangan mereka dengan ramah.",setibanya di pesta tersebut putri serindang bulan dan raja indrapura pun menyambut kedatangan mereka dengan ramah 
novita_f_20201030_03999_dongeng_yogyakarta,"Bahkan ketika mereka akan kembali ke Lebong, Raja Indrapura menghadiahi mereka berbagai perhiasan emas.",bahkan ketika mereka akan kembali ke lebong raja indrapura menghadiahi mereka berbagai perhiasan emas 
novita_f_20201030_04000_dongeng_yogyakarta,"Dalam perjalanan pulang ke Lebong, kapal yang mereka tumpangi diterjang badai dan dihempas ombak besar hingga pecah.",dalam perjalanan pulang ke lebong kapal yang mereka tumpangi diterjang badai dan dihempas ombak besar hingga pecah 
novita_f_20201030_04001_dongeng_yogyakarta,Mereka terdampar di sebuah pulau yang bernama Ipuh.,mereka terdampar di sebuah pulau yang bernama ipuh 
novita_f_20201030_04002_dongeng_yogyakarta,"Semua perhiasan emas pemberian Raja Indrapura tersebut tenggelam di dasar laut, kecuali milik Ki Karang Nio.",semua perhiasan emas pemberian raja indrapura tersebut tenggelam di dasar laut kecuali milik ki karang nio 
novita_f_20201030_04003_dongeng_yogyakarta,"Rupanya, kelima kakaknya itu iri hati kepada Ki Karang Nio dan berniat untuk membunuhnya, lalu mengambil perhiasannya.",rupanya kelima kakaknya itu iri hati kepada ki karang nio dan berniat untuk membunuhnya lalu mengambil perhiasannya 
novita_f_20201030_04004_dongeng_yogyakarta,"Mengetahui niat busuk kakak-kakaknya itu, Ki Karang Nio pun menyampaikan kata-kata bijak kepada mereka.",mengetahui niat busuk kakak kakaknya itu ki karang nio pun menyampaikan kata kata bijak kepada mereka 
novita_f_20201030_04005_dongeng_yogyakarta,Engkau adalah saudaraku yang arif dan bijaksana.,engkau adalah saudaraku yang arif dan bijaksana 
novita_f_20201030_04006_dongeng_yogyakarta,"Engkau memang pantas menjadi Raja di Lebong, ucap Ki Gete dengan perasaan kagum.Benar, Adikku! ",engkau memang pantas menjadi raja di lebong ucap ki gete dengan perasaan kagum benar adikku 
novita_f_20201030_04007_dongeng_yogyakarta,Kami sangat bangga memiliki adik sepertimu.,kami sangat bangga memiliki adik sepertimu 
novita_f_20201030_04008_dongeng_yogyakarta,"Kembalilah ke Lebong, Adikku! ",kembalilah ke lebong adikku 
novita_f_20201030_04009_dongeng_yogyakarta,(artinya: sekarang ini kita berpisah dan kami tidak akan pulang lagi! ,artinya sekarang ini kita berpisah dan kami tidak akan pulang lagi 
novita_f_20201030_04010_dongeng_yogyakarta,"Kata sarak diambil dari kata saok, yang berarti berpisah.",kata sarak diambil dari kata saok yang berarti berpisah 
novita_f_20201030_04011_dongeng_yogyakarta,Ia memerintah rakyat Lebong dengan arif dan bijaksana.,ia memerintah rakyat lebong dengan arif dan bijaksana 
novita_f_20201030_04012_dongeng_yogyakarta,Sementara Ki Pati mendirikan biku di sebuah daerah yang kini dikenal dengan Somelako.,sementara ki pati mendirikan biku di sebuah daerah yang kini dikenal dengan somelako 
novita_f_20201030_04013_dongeng_yogyakarta,Demikian dongeng Putri Serindang Bulan dari daerah Bengkulu.,demikian dongeng putri serindang bulan dari daerah bengkulu 
novita_f_20201030_04014_dongeng_yogyakarta,"Menurut cerita, Putri Serindang Bulan merupakan lambang kebijaksanaan, keadilan, dan kecantikan di Lebong.",menurut cerita putri serindang bulan merupakan lambang kebijaksanaan keadilan dan kecantikan di lebong 
novita_f_20201030_04015_dongeng_yogyakarta,"Oleh masyarakat setempat, ia juga dijuluki sebei Lebong (nenek Lebong).",oleh masyarakat setempat ia juga dijuluki sebei lebong nenek lebong 
novita_f_20201030_04016_dongeng_yogyakarta,Ia juga tidak pernah menaruh dendam kepada kakak-kakaknya yang telah berencana membunuhnya.,ia juga tidak pernah menaruh dendam kepada kakak kakaknya yang telah berencana membunuhnya 
novita_f_20201030_04017_dongeng_yogyakarta,"Selain itu, cerita di atas juga memberikan pelajaran bahwa antarsesama saudara harus saling menyayangi dan melindungi.",selain itu cerita di atas juga memberikan pelajaran bahwa antarsesama saudara harus saling menyayangi dan melindungi 
novita_f_20201030_04018_dongeng_yogyakarta,Hal ini ditunjukkan oleh sifat dan perilaku Ki Karang Nio.,hal ini ditunjukkan oleh sifat dan perilaku ki karang nio 
novita_f_20201030_04019_dongeng_yogyakarta,"Karena sifat kasih sayangnya, ia selalu melindungi adik kandungnya, Putri Serindang Bulan.",karena sifat kasih sayangnya ia selalu melindungi adik kandungnya putri serindang bulan 
novita_f_20201030_04020_dongeng_yogyakarta,"Bagi orang Melayu, dengan berkasih sayang antarsesama, kehidupan yang aman, damai, dan sejahtera dapat diwujudkan.",bagi orang melayu dengan berkasih sayang antarsesama kehidupan yang aman damai dan sejahtera dapat diwujudkan 
novita_f_20201030_04021_dongeng_yogyakarta,"Serindang Bulan, dalam Cerita Rakyat dari Bengkulu 2 ",serindang bulan dalam cerita rakyat dari bengkulu dua  
novita_f_20201030_04022_dongeng_yogyakarta,Jakarta: Grasindo.Tenas Effendy.,jakarta grasindo tenas effendy 
novita_f_20201030_04023_dongeng_yogyakarta,Tunjuk Ajar Melayu.,tunjuk ajar melayu 
novita_f_20201030_04024_dongeng_yogyakarta,Putri Anam dan Putri Bussu adalah dua orang gadis kakak beradik yang tinggal di sebuah daerah di Kalimantan Barat.,putri anam dan putri bussu adalah dua orang gadis kakak beradik yang tinggal di sebuah daerah di kalimantan barat 
novita_f_20201030_04025_dongeng_yogyakarta,"Suatu hari, Putri Bussu memperoleh labu berisi emas dari seorang tetangganya.",suatu hari putri bussu memperoleh labu berisi emas dari seorang tetangganya 
novita_f_20201030_04026_dongeng_yogyakarta,"Mengetahui hal itu, Putri Anam juga ingin untuk mendapatkan labu emas seperti adiknya itu.",mengetahui hal itu putri anam juga ingin untuk mendapatkan labu emas seperti adiknya itu 
novita_f_20201030_04027_dongeng_yogyakarta,Bagaimanakah kisah selanjutnya? ,bagaimanakah kisah selanjutnya 
novita_f_20201030_04028_dongeng_yogyakarta,Simak cerita selengkapnya dalam cerita Putri Anam dan Putri Bussu berikut ini! ,simak cerita selengkapnya dalam cerita putri anam dan putri bussu berikut ini 
novita_f_20201030_04029_dongeng_yogyakarta,"Alkisah, di suatu tempat di Kalimantan Barat, hiduplah dua gadis kakak beradik.",alkisah di suatu tempat di kalimantan barat hiduplah dua gadis kakak beradik 
novita_f_20201030_04030_dongeng_yogyakarta,"Si sulung bernama Putri Anam, sedangkan adiknya bernama Putri Bussu.",si sulung bernama putri anam sedangkan adiknya bernama putri bussu 
novita_f_20201030_04031_dongeng_yogyakarta,Keduanya mempunyai sifat yang berbeda.,keduanya mempunyai sifat yang berbeda 
novita_f_20201030_04032_dongeng_yogyakarta,"Suatu siang yang terik, Putri Bussu sedang duduk di teras rumah sambil mengipas-ngipas wajahnya karena kepanasan.",suatu siang yang terik putri bussu sedang duduk di teras rumah sambil mengipas ngipas wajahnya karena kepanasan 
novita_f_20201030_04033_dongeng_yogyakarta,"Maka, cepat-cepatlah ia mengejar kipas itu.",maka cepat cepatlah ia mengejar kipas itu 
novita_f_20201030_04034_dongeng_yogyakarta,"Rupanya, kipas itu tersangkut di dahan pohon jeruk yang paling tinggi.",rupanya kipas itu tersangkut di dahan pohon jeruk yang paling tinggi 
novita_f_20201030_04035_dongeng_yogyakarta,"Karena ia tidak kuat memanjat, ia pun bermaksud untuk meminta bantuan kepada Pak Rusa.Permisi! ",karena ia tidak kuat memanjat ia pun bermaksud untuk meminta bantuan kepada pak rusa permisi 
novita_f_20201030_04036_dongeng_yogyakarta,"Ada yang bisa saya bantu? tanya Pak Rusa yang baik hati itu.Iya, Pak Rusa.",ada yang bisa saya bantu tanya pak rusa yang baik hati itu iya pak rusa 
novita_f_20201030_04037_dongeng_yogyakarta,Lelaki paruh baya itu tidak kesulitan mengambil kipas milik Putri Bussu.,lelaki paruh baya itu tidak kesulitan mengambil kipas milik putri bussu 
novita_f_20201030_04038_dongeng_yogyakarta,"Setelah turun dari pohon jeruk, ia segera masuk ke dalam rumahnya dan menyerahkan kipas itu kepada pemiliknya.",setelah turun dari pohon jeruk ia segera masuk ke dalam rumahnya dan menyerahkan kipas itu kepada pemiliknya 
novita_f_20201030_04039_dongeng_yogyakarta,"kasih, Pak Rusa, ucap Putri Bussu setelah mendapatkan kembali kipasnya ",kasih pak rusa ucap putri bussu setelah mendapatkan kembali kipasnya 
novita_f_20201030_04040_dongeng_yogyakarta,"Sambil menunggu bubur itu matang, Pak Rusa duduk-duduk di serambi rumahnya.",sambil menunggu bubur itu matang pak rusa duduk duduk di serambi rumahnya 
novita_f_20201030_04041_dongeng_yogyakarta,"Tidak lama kemudian, Putri Bussu pun keluar membawakannya semangkuk bubur.Ini buburnya, Pak.",tidak lama kemudian putri bussu pun keluar membawakannya semangkuk bubur ini buburnya pak 
novita_f_20201030_04042_dongeng_yogyakarta,Ia lebih suka menyantap bubur yang sudah dingin.,ia lebih suka menyantap bubur yang sudah dingin 
novita_f_20201030_04043_dongeng_yogyakarta,"Namun, hingga hari menjelang sore, bubur itu belum juga dimakan.",namun hingga hari menjelang sore bubur itu belum juga dimakan 
novita_f_20201030_04044_dongeng_yogyakarta,Putri Bussu pun tidak akan kembali ke rumahnya sebelum Pak Rusa menyantap bubur buatannya.,putri bussu pun tidak akan kembali ke rumahnya sebelum pak rusa menyantap bubur buatannya 
novita_f_20201030_04045_dongeng_yogyakarta,"Sambil menunggu dengan sabar, ia pun berbincang-bincang dengan tetangganya itu.",sambil menunggu dengan sabar ia pun berbincang bincang dengan tetangganya itu 
novita_f_20201030_04046_dongeng_yogyakarta,"Karena bubur itu sudah dingin, ia pun segera menyantapnya hingga habis.",karena bubur itu sudah dingin ia pun segera menyantapnya hingga habis 
novita_f_20201030_04047_dongeng_yogyakarta,"Karena tidak mau serakah, ia pun mengambil labu yang ukurannya paling kecil.",karena tidak mau serakah ia pun mengambil labu yang ukurannya paling kecil 
novita_f_20201030_04048_dongeng_yogyakarta,"Setelah itu, ia pun berpamitan.",setelah itu ia pun berpamitan 
novita_f_20201030_04049_dongeng_yogyakarta,Alangkah terkejutnya ia setelah membelah labu itu.,alangkah terkejutnya ia setelah membelah labu itu 
novita_f_20201030_04050_dongeng_yogyakarta,"Ternyata, labu itu berisi emas.",ternyata labu itu berisi emas 
novita_f_20201030_04051_dongeng_yogyakarta,"Mengetahui hal itu, Putri Anam pun berkeinginan untuk memiliki labu seperti milik adiknya.",mengetahui hal itu putri anam pun berkeinginan untuk memiliki labu seperti milik adiknya 
novita_f_20201030_04052_dongeng_yogyakarta,"Setelah mendengar cerita itu, sang Kakak segera melakukan hal yang sama seperti adiknya.",setelah mendengar cerita itu sang kakak segera melakukan hal yang sama seperti adiknya 
novita_f_20201030_04053_dongeng_yogyakarta,Ia sengaja menerbangkan kipas ke rumah Pak Rusa.,ia sengaja menerbangkan kipas ke rumah pak rusa 
novita_f_20201030_04054_dongeng_yogyakarta,"Setelah ia ke rumah Pak Rusa, lelaki paruh baya itu pun menyuruhnya untuk membuat bubur.",setelah ia ke rumah pak rusa lelaki paruh baya itu pun menyuruhnya untuk membuat bubur 
novita_f_20201030_04055_dongeng_yogyakarta,Putri Anam segera melaksanakan permintaan itu.,putri anam segera melaksanakan permintaan itu 
novita_f_20201030_04056_dongeng_yogyakarta,"Setelah matang, Putri Anam segera menyajikan bubur itu kepada Pak Rusa.",setelah matang putri anam segera menyajikan bubur itu kepada pak rusa 
novita_f_20201030_04057_dongeng_yogyakarta,"Seperti biasa, Pak Rusa itu tidak suka menyantap bubur panas.",seperti biasa pak rusa itu tidak suka menyantap bubur panas 
novita_f_20201030_04058_dongeng_yogyakarta,"Maka, ia pun menunggu bubur itu dingin dulu.",maka ia pun menunggu bubur itu dingin dulu 
novita_f_20201030_04059_dongeng_yogyakarta,"Namun, karena tidak sabar ingin segera mendapatkan labu emas itu, Putri Anam berbohong kepada Pak Rusa.",namun karena tidak sabar ingin segera mendapatkan labu emas itu putri anam berbohong kepada pak rusa 
novita_f_20201030_04060_dongeng_yogyakarta,"Buburnya sudah dingin, kata Putri Anam.Pak Rusa pun segera menyantap bubur itu.",buburnya sudah dingin kata putri anam pak rusa pun segera menyantap bubur itu 
novita_f_20201030_04061_dongeng_yogyakarta,"Pada saat ia memakannya, ternyata bubur itu masih panas.",pada saat ia memakannya ternyata bubur itu masih panas 
novita_f_20201030_04062_dongeng_yogyakarta,"Tak ayal, mulut Pak Rusa pun terasa terbakar.",tak ayal mulut pak rusa pun terasa terbakar 
novita_f_20201030_04063_dongeng_yogyakarta,Bubur yang ada di mulutnya segera dimuntahkan.,bubur yang ada di mulutnya segera dimuntahkan 
novita_f_20201030_04064_dongeng_yogyakarta,"ini masih panas sekali, Tuan Putri, tukas Pak Rusa dengan kesal ",ini masih panas sekali tuan putri tukas pak rusa dengan kesal 
novita_f_20201030_04065_dongeng_yogyakarta,"Meskipun Putri Anam berbohong, Pak Rusa tetap akan memberikan labu emas kepadanya.",meskipun putri anam berbohong pak rusa tetap akan memberikan labu emas kepadanya 
novita_f_20201030_04066_dongeng_yogyakarta,"Karena keserakahannya, ia pun memilih labu yang paling besar dan berat.Sebaiknya saya pilih labu yang besar ini saja.",karena keserakahannya ia pun memilih labu yang paling besar dan berat sebaiknya saya pilih labu yang besar ini saja 
novita_f_20201030_04067_dongeng_yogyakarta,"Pasti emasnya juga banyak, gumam Putri Anam.Setelah mengambil labu yang paling besar itu, Putri Anam pun berpamitan.",pasti emasnya juga banyak gumam putri anam setelah mengambil labu yang paling besar itu putri anam pun berpamitan 
novita_f_20201030_04068_dongeng_yogyakarta,Pak Rusa tak lupa berpesan kepadanya seperti pesannya kepada Putri Bussu.,pak rusa tak lupa berpesan kepadanya seperti pesannya kepada putri bussu 
novita_f_20201030_04069_dongeng_yogyakarta,"Setiba di rumahnya, ia pun segera menutup pintu dan jendela rumah serta kelambunya, lalu membelah labu itu.",setiba di rumahnya ia pun segera menutup pintu dan jendela rumah serta kelambunya lalu membelah labu itu 
novita_f_20201030_04070_dongeng_yogyakarta,Alangkah terkejutnya ia setelah labu itu terbelah.,alangkah terkejutnya ia setelah labu itu terbelah 
novita_f_20201030_04071_dongeng_yogyakarta,"Labu itu ternyata bukan berisi emas, melainkan puluhan binatang berbisa seperti ular, kalajengking, dan lipan.",labu itu ternyata bukan berisi emas melainkan puluhan binatang berbisa seperti ular kalajengking dan lipan 
novita_f_20201030_04072_dongeng_yogyakarta,"Tak ayal, putri yang serakah itu pun menjerit-jerit ketakutan.",tak ayal putri yang serakah itu pun menjerit jerit ketakutan 
novita_f_20201030_04073_dongeng_yogyakarta,"Ketika ia hendak melarikan diri, puluhan binatang buas tersebut telah menggigitnya.",ketika ia hendak melarikan diri puluhan binatang buas tersebut telah menggigitnya 
novita_f_20201030_04074_dongeng_yogyakarta,Ia pun mengerang-ngerang kesakitan.,ia pun mengerang ngerang kesakitan 
novita_f_20201030_04075_dongeng_yogyakarta,Demikian cerita Putri Anam dan Putri Bussu dari Kalimantan Barat.,demikian cerita putri anam dan putri bussu dari kalimantan barat 
novita_f_20201030_04076_dongeng_yogyakarta,Si Gulap adalah anak bungsu dari tujuh bersaudara yang tinggal di sebuah desa di daerah Bengkulu.,si gulap adalah anak bungsu dari tujuh bersaudara yang tinggal di sebuah desa di daerah bengkulu 
novita_f_20201030_04077_dongeng_yogyakarta,"Suatu ketika, si Gulap dan keenam saudaranya bergantian melamar seorang putri raja karena mereka ingin hidup sejahtera.",suatu ketika si gulap dan keenam saudaranya bergantian melamar seorang putri raja karena mereka ingin hidup sejahtera 
novita_f_20201030_04078_dongeng_yogyakarta,Bagaimana dengan si Gulap? ,bagaimana dengan si gulap 
novita_f_20201030_04079_dongeng_yogyakarta,Berhasilkah ia menikahi putri raja itu? ,berhasilkah ia menikahi putri raja itu 
novita_f_20201030_04080_dongeng_yogyakarta,Simak kisahnya dalam cerita Si Gulap yang Sabar berikut ini! ,simak kisahnya dalam cerita si gulap yang sabar berikut ini 
novita_f_20201030_04081_dongeng_yogyakarta,"Dahulu, di daerah Bengkulu, hiduplah seorang janda bersama tujuh orang anak laki-lakinya.",dahulu di daerah bengkulu hiduplah seorang janda bersama tujuh orang anak laki lakinya 
novita_f_20201030_04082_dongeng_yogyakarta,"Anak sulungnya bernama Umar, sedangkan anak bungsunya bernama si Gulap.",anak sulungnya bernama umar sedangkan anak bungsunya bernama si gulap 
novita_f_20201030_04083_dongeng_yogyakarta,Sehari-hari keluarga janda itu bekerja di ladang dengan menanam singkong dan sayur-sayuran.,sehari hari keluarga janda itu bekerja di ladang dengan menanam singkong dan sayur sayuran 
novita_f_20201030_04084_dongeng_yogyakarta,Hasilnya pun hanya cukup untuk memenuhi kebutuhan sehari-hari karena ladang yang mereka miliki sangat sempit.,hasilnya pun hanya cukup untuk memenuhi kebutuhan sehari hari karena ladang yang mereka miliki sangat sempit 
