filename,transcript_perekaman,transcript_training
rakagu_m_20201030_0447_wilayah1_semarang,Wilayah KABUPATEN LUWU terletak di Indonesia ,wilayah kabupaten luwu terletak di indonesia 
rakagu_m_20201030_0448_wilayah1_semarang,Wilayah KABUPATEN TANA TORAJA terletak di Indonesia ,wilayah kabupaten tana toraja terletak di indonesia 
rakagu_m_20201030_0449_wilayah1_semarang,Wilayah KABUPATEN LUWU UTARA terletak di Indonesia ,wilayah kabupaten luwu utara terletak di indonesia 
rakagu_m_20201030_0450_wilayah1_semarang,Wilayah KABUPATEN LUWU TIMUR terletak di Indonesia ,wilayah kabupaten luwu timur terletak di indonesia 
rakagu_m_20201030_0451_wilayah1_semarang,Wilayah KABUPATEN TORAJA UTARA terletak di Indonesia ,wilayah kabupaten toraja utara terletak di indonesia 
rakagu_m_20201030_0452_wilayah1_semarang,Wilayah KOTA MAKASSAR terletak di Indonesia ,wilayah kota makassar terletak di indonesia 
rakagu_m_20201030_0453_wilayah1_semarang,Wilayah KOTA PAREPARE terletak di Indonesia ,wilayah kota parepare terletak di indonesia 
rakagu_m_20201030_0454_wilayah1_semarang,Wilayah KOTA PALOPO terletak di Indonesia ,wilayah kota palopo terletak di indonesia 
rakagu_m_20201030_0455_wilayah1_semarang,Wilayah KABUPATEN BUTON terletak di Indonesia ,wilayah kabupaten buton terletak di indonesia 
rakagu_m_20201030_0456_wilayah1_semarang,Wilayah KABUPATEN MUNA terletak di Indonesia ,wilayah kabupaten muna terletak di indonesia 
rakagu_m_20201030_0457_wilayah1_semarang,Wilayah KABUPATEN KONAWE terletak di Indonesia ,wilayah kabupaten konawe terletak di indonesia 
rakagu_m_20201030_0458_wilayah1_semarang,Wilayah KABUPATEN KOLAKA terletak di Indonesia ,wilayah kabupaten kolaka terletak di indonesia 
rakagu_m_20201030_0459_wilayah1_semarang,Wilayah KABUPATEN KONAWE SELATAN terletak di Indonesia ,wilayah kabupaten konawe selatan terletak di indonesia 
rakagu_m_20201030_0460_wilayah1_semarang,Wilayah KABUPATEN BOMBANA terletak di Indonesia ,wilayah kabupaten bombana terletak di indonesia 
rakagu_m_20201030_0461_wilayah1_semarang,Wilayah KABUPATEN WAKATOBI terletak di Indonesia ,wilayah kabupaten wakatobi terletak di indonesia 
rakagu_m_20201030_0462_wilayah1_semarang,Wilayah KABUPATEN KOLAKA UTARA terletak di Indonesia ,wilayah kabupaten kolaka utara terletak di indonesia 
rakagu_m_20201030_0463_wilayah1_semarang,Wilayah KABUPATEN BUTON UTARA terletak di Indonesia ,wilayah kabupaten buton utara terletak di indonesia 
rakagu_m_20201030_0464_wilayah1_semarang,Wilayah KABUPATEN KONAWE UTARA terletak di Indonesia ,wilayah kabupaten konawe utara terletak di indonesia 
rakagu_m_20201030_0465_wilayah1_semarang,Wilayah KABUPATEN KOLAKA TIMUR terletak di Indonesia ,wilayah kabupaten kolaka timur terletak di indonesia 
rakagu_m_20201030_0466_wilayah1_semarang,Wilayah KABUPATEN KONAWE KEPULAUAN terletak di Indonesia ,wilayah kabupaten konawe kepulauan terletak di indonesia 
rakagu_m_20201030_0467_wilayah1_semarang,Wilayah KABUPATEN MUNA BARAT terletak di Indonesia ,wilayah kabupaten muna barat terletak di indonesia 
rakagu_m_20201030_0468_wilayah1_semarang,Wilayah KABUPATEN BUTON TENGAH terletak di Indonesia ,wilayah kabupaten buton tengah terletak di indonesia 
rakagu_m_20201030_0469_wilayah1_semarang,Wilayah KABUPATEN BUTON SELATAN terletak di Indonesia ,wilayah kabupaten buton selatan terletak di indonesia 
rakagu_m_20201030_0470_wilayah1_semarang,Wilayah KOTA KENDARI terletak di Indonesia ,wilayah kota kendari terletak di indonesia 
rakagu_m_20201030_0471_wilayah1_semarang,Wilayah KOTA BAUBAU terletak di Indonesia ,wilayah kota baubau terletak di indonesia 
rakagu_m_20201030_0472_wilayah1_semarang,Wilayah KABUPATEN BOALEMO terletak di Indonesia ,wilayah kabupaten boalemo terletak di indonesia 
rakagu_m_20201030_0473_wilayah1_semarang,Wilayah KABUPATEN GORONTALO terletak di Indonesia ,wilayah kabupaten gorontalo terletak di indonesia 
rakagu_m_20201030_0474_wilayah1_semarang,Wilayah KABUPATEN POHUWATO terletak di Indonesia ,wilayah kabupaten pohuwato terletak di indonesia 
rakagu_m_20201030_0475_wilayah1_semarang,Wilayah KABUPATEN BONE BOLANGO terletak di Indonesia ,wilayah kabupaten bone bolango terletak di indonesia 
rakagu_m_20201030_0476_wilayah1_semarang,Wilayah KABUPATEN GORONTALO UTARA terletak di Indonesia ,wilayah kabupaten gorontalo utara terletak di indonesia 
rakagu_m_20201030_0477_wilayah1_semarang,Wilayah KOTA GORONTALO terletak di Indonesia ,wilayah kota gorontalo terletak di indonesia 
rakagu_m_20201030_0478_wilayah1_semarang,Wilayah KABUPATEN MAJENE terletak di Indonesia ,wilayah kabupaten majene terletak di indonesia 
rakagu_m_20201030_0479_wilayah1_semarang,Wilayah KABUPATEN POLEWALI MANDAR terletak di Indonesia ,wilayah kabupaten polewali mandar terletak di indonesia 
rakagu_m_20201030_0480_wilayah1_semarang,Wilayah KABUPATEN MAMASA terletak di Indonesia ,wilayah kabupaten mamasa terletak di indonesia 
rakagu_m_20201030_0481_wilayah1_semarang,Wilayah KABUPATEN MAMUJU terletak di Indonesia ,wilayah kabupaten mamuju terletak di indonesia 
rakagu_m_20201030_0482_wilayah1_semarang,Wilayah KABUPATEN MAMUJU UTARA terletak di Indonesia ,wilayah kabupaten mamuju utara terletak di indonesia 
rakagu_m_20201030_0483_wilayah1_semarang,Wilayah KABUPATEN MAMUJU TENGAH terletak di Indonesia ,wilayah kabupaten mamuju tengah terletak di indonesia 
rakagu_m_20201030_0484_wilayah1_semarang,Wilayah KABUPATEN MALUKU TENGGARA BARAT terletak di Indonesia ,wilayah kabupaten maluku tenggara barat terletak di indonesia 
rakagu_m_20201030_0485_wilayah1_semarang,Wilayah KABUPATEN MALUKU TENGGARA terletak di Indonesia ,wilayah kabupaten maluku tenggara terletak di indonesia 
rakagu_m_20201030_0486_wilayah1_semarang,Wilayah KABUPATEN MALUKU TENGAH terletak di Indonesia ,wilayah kabupaten maluku tengah terletak di indonesia 
rakagu_m_20201030_0487_wilayah1_semarang,Wilayah KABUPATEN BURU terletak di Indonesia ,wilayah kabupaten buru terletak di indonesia 
rakagu_m_20201030_0488_wilayah1_semarang,Wilayah KABUPATEN KEPULAUAN ARU terletak di Indonesia ,wilayah kabupaten kepulauan aru terletak di indonesia 
rakagu_m_20201030_0489_wilayah1_semarang,Wilayah KABUPATEN SERAM BAGIAN BARAT terletak di Indonesia ,wilayah kabupaten seram bagian barat terletak di indonesia 
rakagu_m_20201030_0490_wilayah1_semarang,Wilayah KABUPATEN SERAM BAGIAN TIMUR terletak di Indonesia ,wilayah kabupaten seram bagian timur terletak di indonesia 
rakagu_m_20201030_0491_wilayah1_semarang,Wilayah KABUPATEN MALUKU BARAT DAYA terletak di Indonesia ,wilayah kabupaten maluku barat daya terletak di indonesia 
rakagu_m_20201030_0492_wilayah1_semarang,Wilayah KABUPATEN BURU SELATAN terletak di Indonesia ,wilayah kabupaten buru selatan terletak di indonesia 
rakagu_m_20201030_0493_wilayah1_semarang,Wilayah KOTA AMBON terletak di Indonesia ,wilayah kota ambon terletak di indonesia 
rakagu_m_20201030_0494_wilayah1_semarang,Wilayah KOTA TUAL terletak di Indonesia ,wilayah kota tual terletak di indonesia 
rakagu_m_20201030_0495_wilayah1_semarang,Wilayah KABUPATEN HALMAHERA BARAT terletak di Indonesia ,wilayah kabupaten halmahera barat terletak di indonesia 
rakagu_m_20201030_0496_wilayah1_semarang,Wilayah KABUPATEN HALMAHERA TENGAH terletak di Indonesia ,wilayah kabupaten halmahera tengah terletak di indonesia 
rakagu_m_20201030_0497_wilayah1_semarang,Wilayah KABUPATEN KEPULAUAN SULA terletak di Indonesia ,wilayah kabupaten kepulauan sula terletak di indonesia 
rakagu_m_20201030_0498_wilayah1_semarang,Wilayah KABUPATEN HALMAHERA SELATAN terletak di Indonesia ,wilayah kabupaten halmahera selatan terletak di indonesia 
rakagu_m_20201030_0499_wilayah1_semarang,Wilayah KABUPATEN HALMAHERA UTARA terletak di Indonesia ,wilayah kabupaten halmahera utara terletak di indonesia 
rakagu_m_20201030_0500_wilayah1_semarang,Wilayah KABUPATEN HALMAHERA TIMUR terletak di Indonesia ,wilayah kabupaten halmahera timur terletak di indonesia 
rakagu_m_20201030_0501_wilayah1_semarang,Wilayah KABUPATEN PULAU MOROTAI terletak di Indonesia ,wilayah kabupaten pulau morotai terletak di indonesia 
rakagu_m_20201030_0502_wilayah1_semarang,Wilayah KABUPATEN PULAU TALIABU terletak di Indonesia ,wilayah kabupaten pulau taliabu terletak di indonesia 
rakagu_m_20201030_0503_wilayah1_semarang,Wilayah KOTA TERNATE terletak di Indonesia ,wilayah kota ternate terletak di indonesia 
rakagu_m_20201030_0504_wilayah1_semarang,Wilayah KOTA TIDORE KEPULAUAN terletak di Indonesia ,wilayah kota tidore kepulauan terletak di indonesia 
rakagu_m_20201030_0505_wilayah1_semarang,Wilayah KABUPATEN FAKFAK terletak di Indonesia ,wilayah kabupaten fakfak terletak di indonesia 
rakagu_m_20201030_0506_wilayah1_semarang,Wilayah KABUPATEN KAIMANA terletak di Indonesia ,wilayah kabupaten kaimana terletak di indonesia 
rakagu_m_20201030_0507_wilayah1_semarang,Wilayah KABUPATEN TELUK WONDAMA terletak di Indonesia ,wilayah kabupaten teluk wondama terletak di indonesia 
rakagu_m_20201030_0508_wilayah1_semarang,Wilayah KABUPATEN TELUK BINTUNI terletak di Indonesia ,wilayah kabupaten teluk bintuni terletak di indonesia 
rakagu_m_20201030_0509_wilayah1_semarang,Wilayah KABUPATEN MANOKWARI terletak di Indonesia ,wilayah kabupaten manokwari terletak di indonesia 
rakagu_m_20201030_0510_wilayah1_semarang,Wilayah KABUPATEN SORONG SELATAN terletak di Indonesia ,wilayah kabupaten sorong selatan terletak di indonesia 
rakagu_m_20201030_0511_wilayah1_semarang,Wilayah KABUPATEN SORONG terletak di Indonesia ,wilayah kabupaten sorong terletak di indonesia 
rakagu_m_20201030_0512_wilayah1_semarang,Wilayah KABUPATEN RAJA AMPAT terletak di Indonesia ,wilayah kabupaten raja ampat terletak di indonesia 
rakagu_m_20201030_0513_wilayah1_semarang,Wilayah KABUPATEN TAMBRAUW terletak di Indonesia ,wilayah kabupaten tambrauw terletak di indonesia 
rakagu_m_20201030_0514_wilayah1_semarang,Wilayah KABUPATEN MAYBRAT terletak di Indonesia ,wilayah kabupaten maybrat terletak di indonesia 
rakagu_m_20201030_0515_wilayah1_semarang,Wilayah KABUPATEN MANOKWARI SELATAN terletak di Indonesia ,wilayah kabupaten manokwari selatan terletak di indonesia 
rakagu_m_20201030_0516_wilayah1_semarang,Wilayah KABUPATEN PEGUNUNGAN ARFAK terletak di Indonesia ,wilayah kabupaten pegunungan arfak terletak di indonesia 
rakagu_m_20201030_0517_wilayah1_semarang,Wilayah KOTA SORONG terletak di Indonesia ,wilayah kota sorong terletak di indonesia 
rakagu_m_20201030_0518_wilayah1_semarang,Wilayah KABUPATEN MERAUKE terletak di Indonesia ,wilayah kabupaten merauke terletak di indonesia 
rakagu_m_20201030_0519_wilayah1_semarang,Wilayah KABUPATEN JAYAWIJAYA terletak di Indonesia ,wilayah kabupaten jayawijaya terletak di indonesia 
rakagu_m_20201030_0520_wilayah1_semarang,Wilayah KABUPATEN JAYAPURA terletak di Indonesia ,wilayah kabupaten jayapura terletak di indonesia 
rakagu_m_20201030_0521_wilayah1_semarang,Wilayah KABUPATEN NABIRE terletak di Indonesia ,wilayah kabupaten nabire terletak di indonesia 
rakagu_m_20201030_0522_wilayah1_semarang,Wilayah KABUPATEN KEPULAUAN YAPEN terletak di Indonesia ,wilayah kabupaten kepulauan yapen terletak di indonesia 
rakagu_m_20201030_0523_wilayah1_semarang,Wilayah KABUPATEN BIAK NUMFOR terletak di Indonesia ,wilayah kabupaten biak numfor terletak di indonesia 
rakagu_m_20201030_0524_wilayah1_semarang,Wilayah KABUPATEN PANIAI terletak di Indonesia ,wilayah kabupaten paniai terletak di indonesia 
rakagu_m_20201030_0525_wilayah1_semarang,Wilayah KABUPATEN PUNCAK JAYA terletak di Indonesia ,wilayah kabupaten puncak jaya terletak di indonesia 
rakagu_m_20201030_0526_wilayah1_semarang,Wilayah KABUPATEN MIMIKA terletak di Indonesia ,wilayah kabupaten mimika terletak di indonesia 
rakagu_m_20201030_0527_wilayah1_semarang,Wilayah KABUPATEN BOVEN DIGOEL terletak di Indonesia ,wilayah kabupaten boven digoel terletak di indonesia 
rakagu_m_20201030_0528_wilayah1_semarang,Wilayah KABUPATEN MAPPI terletak di Indonesia ,wilayah kabupaten mappi terletak di indonesia 
rakagu_m_20201030_0529_wilayah1_semarang,Wilayah KABUPATEN ASMAT terletak di Indonesia ,wilayah kabupaten asmat terletak di indonesia 
rakagu_m_20201030_0530_wilayah1_semarang,Wilayah KABUPATEN YAHUKIMO terletak di Indonesia ,wilayah kabupaten yahukimo terletak di indonesia 
rakagu_m_20201030_0531_wilayah1_semarang,Wilayah KABUPATEN PEGUNUNGAN BINTANG terletak di Indonesia ,wilayah kabupaten pegunungan bintang terletak di indonesia 
rakagu_m_20201030_0532_wilayah1_semarang,Wilayah KABUPATEN TOLIKARA terletak di Indonesia ,wilayah kabupaten tolikara terletak di indonesia 
rakagu_m_20201030_0533_wilayah1_semarang,Wilayah KABUPATEN SARMI terletak di Indonesia ,wilayah kabupaten sarmi terletak di indonesia 
rakagu_m_20201030_0534_wilayah1_semarang,Wilayah KABUPATEN KEEROM terletak di Indonesia ,wilayah kabupaten keerom terletak di indonesia 
rakagu_m_20201030_0535_wilayah1_semarang,Wilayah KABUPATEN WAROPEN terletak di Indonesia ,wilayah kabupaten waropen terletak di indonesia 
rakagu_m_20201030_0536_wilayah1_semarang,Wilayah KABUPATEN SUPIORI terletak di Indonesia ,wilayah kabupaten supiori terletak di indonesia 
rakagu_m_20201030_0537_wilayah1_semarang,Wilayah KABUPATEN MAMBERAMO RAYA terletak di Indonesia ,wilayah kabupaten mamberamo raya terletak di indonesia 
rakagu_m_20201030_0538_wilayah1_semarang,Wilayah KABUPATEN NDUGA terletak di Indonesia ,wilayah kabupaten nduga terletak di indonesia 
rakagu_m_20201030_0539_wilayah1_semarang,Wilayah KABUPATEN LANNY JAYA terletak di Indonesia ,wilayah kabupaten lanny jaya terletak di indonesia 
rakagu_m_20201030_0540_wilayah1_semarang,Wilayah KABUPATEN MAMBERAMO TENGAH terletak di Indonesia ,wilayah kabupaten mamberamo tengah terletak di indonesia 
rakagu_m_20201030_0541_wilayah1_semarang,Wilayah KABUPATEN YALIMO terletak di Indonesia ,wilayah kabupaten yalimo terletak di indonesia 
rakagu_m_20201030_0542_wilayah1_semarang,Wilayah KABUPATEN PUNCAK terletak di Indonesia ,wilayah kabupaten puncak terletak di indonesia 
rakagu_m_20201030_0543_wilayah1_semarang,Wilayah KABUPATEN DOGIYAI terletak di Indonesia ,wilayah kabupaten dogiyai terletak di indonesia 
rakagu_m_20201030_0544_wilayah1_semarang,Wilayah KABUPATEN INTAN JAYA terletak di Indonesia ,wilayah kabupaten intan jaya terletak di indonesia 
rakagu_m_20201030_0545_wilayah1_semarang,Wilayah KABUPATEN DEIYAI terletak di Indonesia ,wilayah kabupaten deiyai terletak di indonesia 
rakagu_m_20201030_0546_wilayah1_semarang,Wilayah KOTA JAYAPURA terletak di Indonesia ,wilayah kota jayapura terletak di indonesia 
rakagu_m_20201030_0547_wilayah1_semarang,Wilayah TEUPAH SELATAN terletak di Indonesia ,wilayah teupah selatan terletak di indonesia 
rakagu_m_20201030_0548_wilayah1_semarang,Wilayah SIMEULUE TIMUR terletak di Indonesia ,wilayah simeulue timur terletak di indonesia 
rakagu_m_20201030_0549_wilayah1_semarang,Wilayah TEUPAH BARAT terletak di Indonesia ,wilayah teupah barat terletak di indonesia 
rakagu_m_20201030_0550_wilayah1_semarang,Wilayah TEUPAH TENGAH terletak di Indonesia ,wilayah teupah tengah terletak di indonesia 
rakagu_m_20201030_0551_wilayah1_semarang,Wilayah SIMEULUE TENGAH terletak di Indonesia ,wilayah simeulue tengah terletak di indonesia 
rakagu_m_20201030_0552_wilayah1_semarang,Wilayah TELUK DALAM terletak di Indonesia ,wilayah teluk dalam terletak di indonesia 
rakagu_m_20201030_0553_wilayah1_semarang,Wilayah SIMEULUE CUT terletak di Indonesia ,wilayah simeulue cut terletak di indonesia 
rakagu_m_20201030_0554_wilayah1_semarang,Wilayah SALANG terletak di Indonesia ,wilayah salang terletak di indonesia 
rakagu_m_20201030_0555_wilayah1_semarang,Wilayah SIMEULUE BARAT terletak di Indonesia ,wilayah simeulue barat terletak di indonesia 
rakagu_m_20201030_0556_wilayah1_semarang,Wilayah ALAFAN terletak di Indonesia ,wilayah alafan terletak di indonesia 
rakagu_m_20201030_0557_wilayah1_semarang,Wilayah PULAU BANYAK terletak di Indonesia ,wilayah pulau banyak terletak di indonesia 
rakagu_m_20201030_0558_wilayah1_semarang,Wilayah PULAU BANYAK BARAT terletak di Indonesia ,wilayah pulau banyak barat terletak di indonesia 
rakagu_m_20201030_0559_wilayah1_semarang,Wilayah SINGKIL terletak di Indonesia ,wilayah singkil terletak di indonesia 
rakagu_m_20201030_0560_wilayah1_semarang,Wilayah SINGKIL UTARA terletak di Indonesia ,wilayah singkil utara terletak di indonesia 
rakagu_m_20201030_0561_wilayah1_semarang,Wilayah KUALA BARU terletak di Indonesia ,wilayah kuala baru terletak di indonesia 
rakagu_m_20201030_0562_wilayah1_semarang,Wilayah SIMPANG KANAN terletak di Indonesia ,wilayah simpang kanan terletak di indonesia 
rakagu_m_20201030_0563_wilayah1_semarang,Wilayah GUNUNG MERIAH terletak di Indonesia ,wilayah gunung meriah terletak di indonesia 
rakagu_m_20201030_0564_wilayah1_semarang,Wilayah DANAU PARIS terletak di Indonesia ,wilayah danau paris terletak di indonesia 
rakagu_m_20201030_0565_wilayah1_semarang,Wilayah SURO terletak di Indonesia ,wilayah suro terletak di indonesia 
rakagu_m_20201030_0566_wilayah1_semarang,Wilayah SINGKOHOR terletak di Indonesia ,wilayah singkohor terletak di indonesia 
rakagu_m_20201030_0567_wilayah1_semarang,Wilayah KOTA BAHARU terletak di Indonesia ,wilayah kota baharu terletak di indonesia 
rakagu_m_20201030_0568_wilayah1_semarang,Wilayah TRUMON terletak di Indonesia ,wilayah trumon terletak di indonesia 
rakagu_m_20201030_0569_wilayah1_semarang,Wilayah TRUMON TIMUR terletak di Indonesia ,wilayah trumon timur terletak di indonesia 
rakagu_m_20201030_0570_wilayah1_semarang,Wilayah TRUMON TENGAH terletak di Indonesia ,wilayah trumon tengah terletak di indonesia 
rakagu_m_20201030_0571_wilayah1_semarang,Wilayah BAKONGAN terletak di Indonesia ,wilayah bakongan terletak di indonesia 
rakagu_m_20201030_0572_wilayah1_semarang,Wilayah BAKONGAN TIMUR terletak di Indonesia ,wilayah bakongan timur terletak di indonesia 
rakagu_m_20201030_0573_wilayah1_semarang,Wilayah KOTA BAHAGIA terletak di Indonesia ,wilayah kota bahagia terletak di indonesia 
rakagu_m_20201030_0574_wilayah1_semarang,Wilayah KLUET SELATAN terletak di Indonesia ,wilayah kluet selatan terletak di indonesia 
rakagu_m_20201030_0575_wilayah1_semarang,Wilayah KLUET TIMUR terletak di Indonesia ,wilayah kluet timur terletak di indonesia 
rakagu_m_20201030_0576_wilayah1_semarang,Wilayah KLUET UTARA terletak di Indonesia ,wilayah kluet utara terletak di indonesia 
rakagu_m_20201030_0577_wilayah1_semarang,Wilayah PASIE RAJA terletak di Indonesia ,wilayah pasie raja terletak di indonesia 
rakagu_m_20201030_0578_wilayah1_semarang,Wilayah KLUET TENGAH terletak di Indonesia ,wilayah kluet tengah terletak di indonesia 
rakagu_m_20201030_0579_wilayah1_semarang,Wilayah TAPAK TUAN terletak di Indonesia ,wilayah tapak tuan terletak di indonesia 
rakagu_m_20201030_0580_wilayah1_semarang,Wilayah SAMA DUA terletak di Indonesia ,wilayah sama dua terletak di indonesia 
rakagu_m_20201030_0581_wilayah1_semarang,Wilayah SAWANG terletak di Indonesia ,wilayah sawang terletak di indonesia 
rakagu_m_20201030_0582_wilayah1_semarang,Wilayah MEUKEK terletak di Indonesia ,wilayah meukek terletak di indonesia 
rakagu_m_20201030_0583_wilayah1_semarang,Wilayah LABUHAN HAJI terletak di Indonesia ,wilayah labuhan haji terletak di indonesia 
rakagu_m_20201030_0584_wilayah1_semarang,Wilayah LABUHAN HAJI TIMUR terletak di Indonesia ,wilayah labuhan haji timur terletak di indonesia 
rakagu_m_20201030_0585_wilayah1_semarang,Wilayah LABUHAN HAJI BARAT terletak di Indonesia ,wilayah labuhan haji barat terletak di indonesia 
rakagu_m_20201030_0586_wilayah1_semarang,Wilayah LAWE ALAS terletak di Indonesia ,wilayah lawe alas terletak di indonesia 
rakagu_m_20201030_0587_wilayah1_semarang,Wilayah BABUL RAHMAH terletak di Indonesia ,wilayah babul rahmah terletak di indonesia 
rakagu_m_20201030_0588_wilayah1_semarang,Wilayah TANOH ALAS terletak di Indonesia ,wilayah tanoh alas terletak di indonesia 
rakagu_m_20201030_0589_wilayah1_semarang,Wilayah LAWE SIGALA-GALA terletak di Indonesia ,wilayah lawe sigala gala terletak di indonesia 
rakagu_m_20201030_0590_wilayah1_semarang,Wilayah BABUL MAKMUR terletak di Indonesia ,wilayah babul makmur terletak di indonesia 
rakagu_m_20201030_0591_wilayah1_semarang,Wilayah SEMADAM terletak di Indonesia ,wilayah semadam terletak di indonesia 
rakagu_m_20201030_0592_wilayah1_semarang,Wilayah LEUSER terletak di Indonesia ,wilayah leuser terletak di indonesia 
rakagu_m_20201030_0593_wilayah1_semarang,Wilayah BAMBEL terletak di Indonesia ,wilayah bambel terletak di indonesia 
rakagu_m_20201030_0594_wilayah1_semarang,Wilayah BUKIT TUSAM terletak di Indonesia ,wilayah bukit tusam terletak di indonesia 
rakagu_m_20201030_0595_wilayah1_semarang,Wilayah LAWE SUMUR terletak di Indonesia ,wilayah lawe sumur terletak di indonesia 
rakagu_m_20201030_0596_wilayah1_semarang,Wilayah BABUSSALAM terletak di Indonesia ,wilayah babussalam terletak di indonesia 
rakagu_m_20201030_0597_wilayah1_semarang,Wilayah LAWE BULAN terletak di Indonesia ,wilayah lawe bulan terletak di indonesia 
rakagu_m_20201030_0598_wilayah1_semarang,Wilayah BADAR terletak di Indonesia ,wilayah badar terletak di indonesia 
rakagu_m_20201030_0599_wilayah1_semarang,Wilayah DARUL HASANAH terletak di Indonesia ,wilayah darul hasanah terletak di indonesia 
rakagu_m_20201030_0600_wilayah1_semarang,Wilayah KETAMBE terletak di Indonesia ,wilayah ketambe terletak di indonesia 
rakagu_m_20201030_0601_wilayah1_semarang,Wilayah DELENG POKHKISEN terletak di Indonesia ,wilayah deleng pokhkisen terletak di indonesia 
rakagu_m_20201030_0602_wilayah1_semarang,Wilayah SERBA JADI terletak di Indonesia ,wilayah serba jadi terletak di indonesia 
rakagu_m_20201030_0603_wilayah1_semarang,Wilayah SIMPANG JERNIH terletak di Indonesia ,wilayah simpang jernih terletak di indonesia 
rakagu_m_20201030_0604_wilayah1_semarang,Wilayah PEUNARON terletak di Indonesia ,wilayah peunaron terletak di indonesia 
rakagu_m_20201030_0605_wilayah1_semarang,Wilayah BIREM BAYEUN terletak di Indonesia ,wilayah birem bayeun terletak di indonesia 
rakagu_m_20201030_0606_wilayah1_semarang,Wilayah RANTAU SELAMAT terletak di Indonesia ,wilayah rantau selamat terletak di indonesia 
rakagu_m_20201030_0607_wilayah1_semarang,Wilayah SUNGAI RAYA terletak di Indonesia ,wilayah sungai raya terletak di indonesia 
rakagu_m_20201030_0608_wilayah1_semarang,Wilayah PEUREULAK terletak di Indonesia ,wilayah peureulak terletak di indonesia 
rakagu_m_20201030_0609_wilayah1_semarang,Wilayah PEUREULAK TIMUR terletak di Indonesia ,wilayah peureulak timur terletak di indonesia 
rakagu_m_20201030_0610_wilayah1_semarang,Wilayah PEUREULAK BARAT terletak di Indonesia ,wilayah peureulak barat terletak di indonesia 
rakagu_m_20201030_0611_wilayah1_semarang,Wilayah RANTO PEUREULAK terletak di Indonesia ,wilayah ranto peureulak terletak di indonesia 
rakagu_m_20201030_0612_wilayah1_semarang,Wilayah IDI RAYEUK terletak di Indonesia ,wilayah idi rayeuk terletak di indonesia 
rakagu_m_20201030_0613_wilayah1_semarang,Wilayah PEUDAWA terletak di Indonesia ,wilayah peudawa terletak di indonesia 
rakagu_m_20201030_0614_wilayah1_semarang,Wilayah BANDA ALAM terletak di Indonesia ,wilayah banda alam terletak di indonesia 
rakagu_m_20201030_0615_wilayah1_semarang,Wilayah IDI TUNONG terletak di Indonesia ,wilayah idi tunong terletak di indonesia 
rakagu_m_20201030_0616_wilayah1_semarang,Wilayah DARUL IHSAN terletak di Indonesia ,wilayah darul ihsan terletak di indonesia 
rakagu_m_20201030_0617_wilayah1_semarang,Wilayah IDI TIMUR terletak di Indonesia ,wilayah idi timur terletak di indonesia 
rakagu_m_20201030_0618_wilayah1_semarang,Wilayah DARUL AMAN terletak di Indonesia ,wilayah darul aman terletak di indonesia 
rakagu_m_20201030_0619_wilayah1_semarang,Wilayah NURUSSALAM terletak di Indonesia ,wilayah nurussalam terletak di indonesia 
rakagu_m_20201030_0620_wilayah1_semarang,Wilayah DARUL FALAH terletak di Indonesia ,wilayah darul falah terletak di indonesia 
rakagu_m_20201030_0621_wilayah1_semarang,Wilayah JULOK terletak di Indonesia ,wilayah julok terletak di indonesia 
rakagu_m_20201030_0622_wilayah1_semarang,Wilayah INDRA MAKMUR terletak di Indonesia ,wilayah indra makmur terletak di indonesia 
rakagu_m_20201030_0623_wilayah1_semarang,Wilayah PANTE BIDARI terletak di Indonesia ,wilayah pante bidari terletak di indonesia 
rakagu_m_20201030_0624_wilayah1_semarang,Wilayah SIMPANG ULIM terletak di Indonesia ,wilayah simpang ulim terletak di indonesia 
rakagu_m_20201030_0625_wilayah1_semarang,Wilayah MADAT terletak di Indonesia ,wilayah madat terletak di indonesia 
rakagu_m_20201030_0626_wilayah1_semarang,Wilayah LINGE terletak di Indonesia ,wilayah linge terletak di indonesia 
rakagu_m_20201030_0627_wilayah1_semarang,Wilayah ATU LINTANG terletak di Indonesia ,wilayah atu lintang terletak di indonesia 
rakagu_m_20201030_0628_wilayah1_semarang,Wilayah JAGONG JEGET terletak di Indonesia ,wilayah jagong jeget terletak di indonesia 
rakagu_m_20201030_0629_wilayah1_semarang,Wilayah BINTANG terletak di Indonesia ,wilayah bintang terletak di indonesia 
rakagu_m_20201030_0630_wilayah1_semarang,Wilayah LUT TAWAR terletak di Indonesia ,wilayah lut tawar terletak di indonesia 
rakagu_m_20201030_0631_wilayah1_semarang,Wilayah KEBAYAKAN terletak di Indonesia ,wilayah kebayakan terletak di indonesia 
rakagu_m_20201030_0632_wilayah1_semarang,Wilayah PEGASING terletak di Indonesia ,wilayah pegasing terletak di indonesia 
rakagu_m_20201030_0633_wilayah1_semarang,Wilayah BIES terletak di Indonesia ,wilayah bies terletak di indonesia 
rakagu_m_20201030_0634_wilayah1_semarang,Wilayah BEBESEN terletak di Indonesia ,wilayah bebesen terletak di indonesia 
rakagu_m_20201030_0635_wilayah1_semarang,Wilayah KUTE PANANG terletak di Indonesia ,wilayah kute panang terletak di indonesia 
rakagu_m_20201030_0636_wilayah1_semarang,Wilayah SILIH NARA terletak di Indonesia ,wilayah silih nara terletak di indonesia 
rakagu_m_20201030_0637_wilayah1_semarang,Wilayah KETOL terletak di Indonesia ,wilayah ketol terletak di indonesia 
